filename,probability
J01_2018.06.19 09_53_43.jpg,0.8872173527876537
J01_2018.06.27 09_30_14.jpg,0.4823211050510406
J01_2018.06.28 13_51_02.jpg,0.2393566345175107
J01_2018.06.23 13_43_45.jpg,0.4725170723080635
J01_2018.06.28 15_46_45.jpg,0.9999899999999999
J01_2018.06.22 15_57_43.jpg,0.838564860324065
J01_2018.06.22 15_56_15.jpg,0.4393979973077774
J01_2018.06.22 09_38_46.jpg,0.9844662018966674
J01_2018.06.17 13_26_01.jpg,0.29771616225242614
J01_2018.06.23 09_46_41.jpg,0.9999899999999999
J01_2018.06.19 08_43_29.jpg,0.3865519753575325
J01_2018.06.17 15_27_24.jpg,0.9999502518129348
J01_2018.06.27 15_14_31.jpg,0.23668870617747303
J01_2018.06.28 13_51_43.jpg,0.22246856925388175
J01_2018.06.26 10_03_53.jpg,0.5734039520223936
J01_2018.06.16 09_57_05.jpg,0.3751834159096082
J01_2018.06.20 14_38_11.jpg,0.9999726929616928
J01_2018.06.19 13_17_19.jpg,0.8718508879343669
J01_2018.06.26 15_43_48.jpg,0.15683442642092704
J01_2018.06.25 08_47_55.jpg,0.9999899999999999
J01_2018.06.25 14_02_39.jpg,0.7383831267555554
J01_2018.06.17 13_23_13.jpg,0.38233750973939895
J01_2018.06.19 14_42_59.jpg,0.9999899999999999
J01_2018.06.27 09_27_01.jpg,0.6483802733321984
J01_2018.06.17 15_03_48.jpg,0.4160443420211474
J01_2018.06.17 14_03_42.jpg,0.19315610368847846
J01_2018.06.26 13_22_58.jpg,0.1405265658080578
J01_2018.06.13 14_00_46.jpg,0.6037198640406132
J01_2018.06.27 09_32_22.jpg,0.24803793740769225
J01_2018.06.17 15_46_46.jpg,0.5546623220046362
J01_2018.06.25 14_26_01.jpg,0.9999899999999999
J01_2018.06.22 09_10_35.jpg,0.9999899999999999
J01_2018.06.26 13_23_28.jpg,0.1584296478807926
J01_2018.06.26 13_33_49.jpg,0.16199930672645568
J01_2018.06.26 09_59_53.jpg,0.06977475675866007
J01_2018.06.28 15_19_55.jpg,0.04981573446765542
J01_2018.06.25 15_40_04.jpg,0.7750967576083541
J01_2018.06.25 14_29_54.jpg,0.9999899999999999
J01_2018.06.28 13_19_17.jpg,0.3073937549173832
J01_2018.06.25 13_38_59.jpg,0.4200620769212643
J01_2018.06.25 14_46_19.jpg,0.2978416283925374
J01_2018.06.26 09_37_01.jpg,0.9999419444155693
J01_2018.06.25 10_14_11.jpg,0.2511813483119011
